assessmentId,internalTaxonId,scientificName,redlistCategory,redlistCriteria,yearPublished,assessmentDate,criteriaVersion,language,rationale,habitat,threats,population,populationTrend,range,useTrade,systems,conservationActions,realm,yearLastSeen,possiblyExtinct,possiblyExtinctInTheWild,scopes
6830613,172054,Avena canariensis,Least Concern,,2011,2010-12-30 00:00:00 UTC,3.1,English,"<span style=""font-style: italic;"">Avena canariensis </span>is assessed as Least Concern as it is fairly common and locally abundant on Lanzarote and Fuerteventura and the population is stable, despite being affected by grazing pressure at some localities. Its distribution requires clarification as Izquierdo <span style=""font-style: italic;"">et al</span>. (2004) and the assessors believe it to be endemic to the Canary Islands, while Valdés and Scholz; with contributions from Raab-Straube and Parolly (2009) and USDA, ARS, National Genetic Resources Program (2010) record it as native to the Canary Islands and Morocco.<span style=""background-color: yellow;""><br/></span>","<span style=""background-color: yellow;""><span style=""background-color: white;"">It grows in abandoned cultivated areas above 200–300 m and in stony places in grassland.</span>",It is threatened by grazing—especially on Fuerteventura.,It is fairly common on Lanzarote and Fuerteventura where it is locally abundant and stable.,Stable,"According to Izquierdo<span style=""font-style: italic;""> et al. </span>(2004), <span style=""font-style: italic;"">A. canariensis</span> is endemic to the Canary Islands where it occurs on the islands of Tenerife, Fuerteventura and Lanzarote. However, <strong style=""font-weight: normal;"">Valdés and Scholz; with  contributions from Raab-Straube and Parolly (2009) and </strong>USDA, ARS, National Genetic Resources Program (2010) record it as native to the Canary Islands and Morocco. According to J.A. Reyes Betancort and A. Santos Guerra (pers. comm. 2010) it occurs on Lanzarote and Fuerteventura and there is an old mention of it from Tenerife. However, they have not found it outside of the Canary Islands.<span style=""background-color: yellow;""></span>","<span style=""font-style: italic;"">A. canariensis</span> is a tertiary wild relative of and potential gene donor to oats, <span style=""font-style: italic;"">A</span>.<span style=""font-style: italic;""> sativa</span> and <span style=""font-style: italic;"">A. byzantina </span>(Maxted <span style=""font-style: italic;"">et al</span>. in prep.).",Terrestrial,"<p>The genus <span style=""font-style: italic;"">Avena </span>is listed in Annex I of the International Treaty on Plant Genetic Resources for Food and Agriculture.</p><p><span style=""font-style: italic;"">A. canariensis</span> is listed as Vulnerable (VU) B2ac(iv) in the Lista Roja 2008 de la Flora Vascular Española (Moreno 2008).</p><p>Some subpopulations occur in protected areas, both on Fuerteventura and Lanzarote.<br/></p><p>EURISCO reports 26 germplasm accessions of <span style=""font-style: italic;"">A. canariensis</span> held in European genebanks, 19 of which are reported to be of wild or weedy origin; however, of the wild accessions, none are reported to originate from Europe (EURISCO Catalogue 2010).</p>",Palearctic,,false,false,Global & Europe
6859581,172260,Patellifolia webbiana,Critically Endangered,B1ab(iii)+2ab(iii),2011,2011-03-01 00:00:00 UTC,3.1,English,"<span style=""font-style: italic;"">Patellifolia webbiana </span>is assessed as Critically Endangered as its extent of occurrence (EOO) is no more than 8 km², its area of occupancy is no more than 4 km², the population is severely fragmented, and it occurs at only one location which has been highlighted for development. There is also a continuing decline in the quality of the habitat due to the use of the area for military training activities.<br/><br/>It would also qualify for Vulnerable D2 because its area of occupancy is very restricted (no more than 4 km²) and it occurs at only one location.<br/><br/>DNA analysis is required in order to clarify the taxonomic status of the different reported occurrences of P. webbiana, as well as to clarify the taxonomic relationships within the genus. However, until this is undertaken, the (sub)population on La Isleta is assumed to be the only known population of the taxon and it is therefore assessed as Critically Endangered as a precautionary measure.<span style=""font-style: italic;""><br/></span>","<span style=""font-style: italic;"">P. webbiana </span>is a ruderal nitrophilous species. On La Isleta, it grows on disturbed ancient and recent lava flows where the annual rainfall is probably less than 200 mm and the vegetation mainly consists of <span style=""font-style: italic;"">Euphorbia </span>communities (<span style=""font-style: italic;"">E. balsamifera </span>/ <span style=""font-style: italic;"">E. canariensis</span>).<span style=""background-color: green;""><span style=""background-color: white;""><span style=""background-color: green;""><span style=""background-color: green;""><span style=""background-color: green;""><span style=""background-color: white;""><br/></span></span></span>","The population is affected by disturbance from military training activities on La Isleta and there is a road that crosses through the main known subpopulation.<br/><br/>Parts of La Isleta may in the future be developed by the local administration of Las Palmas city, but it is not known what type of development is planned.<span style=""background-color: yellow;""><br/></span>","It is locally frequent on La Isleta; however, the population is severely fragmented as there is a road that cuts through the main subpopulation and the area has been developed for military use, including the construction of houses.<span style=""background-color: yellow;""><br/></span>",Unknown,"According to Izquierdo <span style=""font-style: italic;"">et al</span>. (2004), <span style=""font-style: italic;"">P. webbiana </span>is endemic to the Canary Islands of Hierro, La Gomera, Tenerife, Gran Canaria, Fuerteventura and Lanzarote. However, A. Santos Guerra (pers. comm. 2010) considers the only occurrence of <span style=""font-style: italic;"">P. webbiana </span>to be the plants on La Isleta (Gran Canaria), a complex of small volcanoes close to Las Palmas city, and that occurrences cited from other islands should be treated as <span style=""font-style: italic;"">P. procumbens </span>(Hornem.) A.J. Scott, Ford-Lloyd & J.T. Williams. The extent of occurrence (EOO) of this population is no more than 8 km² and the area of occupancy (AOO) is no more than 4 km².<span style=""background-color: green;""><span style=""background-color: green;""><span style=""background-color: white;""><span style=""background-color: yellow;""></span></span>","<span style=""font-style: italic;"">P. webbiana </span>is a tertiary wild relative of and potential gene donor to cultivated beets, <span style=""font-style: italic;"">B. vulgaris </span>ssp. <span style=""font-style: italic;"">vulgaris </span>(leaf, garden, fodder and sugar beet groups). There are no known direct uses of this species. Yu (1984) screened <span style=""font-style: italic;"">Patellifolia </span>species under controlled conditions in the glasshouse. The three species were all highly resistant, but not immune to the root cyst nematode, <span style=""font-style: italic;"">Heterodera schachtii</span>.",Terrestrial,"The genus <span style=""font-style: italic;"">Beta </span>(beet) is listed  in Annex I of the International Treaty on Plant Genetic  Resources for  Food and Agriculture and although the genus <span style=""font-style: italic;"">Patellifolia </span>is not listed in the Treaty, it is part of the beet gene pool.<br/><br/>La Isleta (560 ha) is protected by the Canarian law of 'Espacios Protegidos' (Protected Landscapes) due to its interest as a 'desert landscape'. The area where the species occurs is under military control with restricted human access. Part of this territory could be suitable for population enhancement.<p>  </p><p>The species in not mentioned in the recent catalogue of protected species of the Canarian Government (2010), nor in the recent catalogue 'Listado de especies silvestres en Régimen de Protección Especial y del Catálogo Español de Especies Amenazadas' (Ministerio de Medio Ambiente, y Medio Rural y Marino 2011). </p>  EURISCO reports only one germplasm accession of <span style=""font-style: italic;"">P. webbiana</span> which is stored in the genebank of the Escuela Técnica Superior de Ingenieros Agrónomos, Universidad Politécnica de Madrid (EURISCO Catalogue 2010). One accession is also reported by USDA, ARS, National Genetic Resources Program 2010). According D. Draper (pers. comm. 2010) this accession was collected at El Confital, a locality in the Isleta area, so it probably belongs to the true <span style=""font-style: italic;"">P. webbiana</span>.&#160;Further germplasm collection and duplicated <span style=""font-style: italic;"">ex situ</span> storage is a priority for this species.<br/><br/>DNA analysis is required in order to clarify the taxonomic status of the different reported occurrences of the taxon, as well as to clarify the taxonomic relationships within the genus. Sampling from all known subpopulations recorded as <span style=""font-style: italic;"">P. webbiana</span>, as well as from the (sub)population on La Isleta is needed to carry out this research. Existing studies indicating that <span style=""font-style: italic;"">P. webbiana</span> is not a separate species have been based on inadequate sampling.",Palearctic,,false,false,Global & Europe
6973170,173201,Hipparchia tilosi,Vulnerable,D2,2010,2009-01-29 00:00:00 UTC,3.1,English,"This species occurs in fewer than five locations, it's area of occupancy (AOO) is less than 20 km² and it is threatened by tourist activities and fires. Therefore it is classified as Vulnerable.","This Grayling is confined to one of the Canary Islands, La Palma. It can be found in rocky gullies surrounded by laurel or pine forest. It has one generation a year (Tolman & Lewington 2008).  Detailed habitat descriptions are not available.",This species is restricted to few locations on one island. It is threatened by tourist activities and fires.,"This is a very local and rare European endemic, restricted to (semi-) natural areas on La Palma, Canary Islands.  It is not known how large the population is, but numbers might well be under 10,000 adults.",Stable,"The La Palma Grayling occurs only on the Canary Island of La Palma, between 400-1,300 m elevation. This is a European endemic species.","All butterflies are collected to some extent, but only for the extremely rare species it can be a problem and the trade in Europe is generally at a low level compared to other continents. There is no specific trade information for this species.",Terrestrial,"As this species has a restricted global range and is very rare, its distribution and trend should be monitored closely, for example by a Butterfly Monitoring Scheme.",Palearctic,,false,false,Global & Europe
6975905,173220,Hipparchia gomera,Least Concern,,2010,2009-01-29 00:00:00 UTC,3.1,English,"Although this species occurs in a small extent of occurrence (EOO) and area of occupancy (AOO), it is not declining by more than 30% nor shows extreme fluctuations according to Russell <span style=""font-style: italic;"">et al</span>. (2007). Therefore it is listed as Least Concern.","This Grayling is confined to one of the Canary Islands, Gomera. There, it can be found on the steep and grassy cliffs and on rocky gullies and slopes, mostly where there is also some bushy vegetation or laurel forest at close range. It has one generation a year (Tolman and Lewington 2008).  Detailed habitat descriptions are not available.","Although this is a European endemic with a restricted range, this species is not believed to face major threats at the European level.","A local species, restricted to (semi-) natural areas on Gomera, Canary Islands.",Stable,Restricted to the Canary Island Gomera. 200-400 m. This is a European endemic species.,"All butterflies are collected to some extent, but only for the extremely rare species it can be a problem and the trade in Europe is generally at a low level compared to other continents. There is no specific trade information for this species.",Terrestrial,"No specific conservation actions are needed at a European level. But since it has a restricted global range, its distribution and trend should be monitored closely, for example by a Butterfly Monitoring Scheme.",Palearctic,,false,false,Global & Europe
6976115,173222,Cyclyrius webbianus,Least Concern,,2010,2009-01-29 00:00:00 UTC,3.1,English,"This species is listed as Least Concern, since it has not been declining by more than 25% in the last ten years and its population size is probably larger than 10,000 adult individuals.","The Canary Blue can be found amongst scrub on rocky places, that are mostly at low altitudes and also on waste ground near human settlements. The larvae feed on many plant species, such as <span style=""font-style: italic;"">Cytisus canariensis</span>, <span style=""font-style: italic;"">Spartocytisus rubigenus</span>,<span style=""font-style: italic;""> Lotus sessilifolius</span>, <span style=""font-style: italic;"">L. hillebrandii</span>, <span style=""font-style: italic;"">L. glaucus</span>, <span style=""font-style: italic;"">Adenocarpus viscosus</span> and <span style=""font-style: italic;"">Teline stenopetala</span>. At low altitudes, this species produces many overlapping generations and can be seen throughout the year. It is not known how many generations are produced and what the diapause stage might be on sites at high altitudes, such as Mount Teide on Tenerife.<br/>Detailed habitat descriptions are not available.","Although this is a European endemic with a restricted range, this species is not believed to face major threats at the European level.","A local species, restricted to the Canary Islands.",Stable,"Restricted to the Canary Islands. Generally found from 200 to 2,500 m, although it has been recorded near the summit of Mount Teide on Tenerife at 3500 m. This is a European endemic species.","All butterflies are collected to some extent, but only for the extremely rare species it can be a problem and the trade in Europe is generally at a low level compared to other continents. There is no specific trade information for this species.",Terrestrial,This species occurs in a number of protected areas across its range. No specific conservation actions are needed at a European level. But since it has a restricted global range. The effects of conservation actions should be monitored closely by a Butterfly Monitoring Scheme.,Palearctic,,false,false,Global & Europe
6976222,173223,Gonepteryx cleobule,Vulnerable,"B1ab(iii,v)",2010,2009-01-29 00:00:00 UTC,3.1,English,"The extent of occurrence (EOO) of this endemic butterfly is less than 5,000 km² (but larger than 100 km²), the number of locations is fewer than ten and it has a continuing decline. Therefore it is classified as Vulnerable at the global, European and the EU27 level.","This butterfly can be seen in laurel forests on the north sides of the mountains, but also in other types of forests; they are very mobile and can be seen far away from their reproduction sites. The caterpillars feed on <span style=""font-style: italic;"">Rhamnus glandulosa </span>and <span style=""font-style: italic;"">R. crenulata</span>. It is not known how many generations a year are on the wing. Detailed habitat descriptions are not available.","This is a European endemic with a restricted range. The survival of the species is bound to its habitat, the laurel forest, which is still threatened although a part is legally protected. The main threats for laurel forests on the Canary Islands are tourist resorts and illegal building destroying part of the habitats, especially alongside roads or near settlements. Fires are another significant threat. Accidentally and intentionally set for livestock grazing, crop planting, timber and real estate speculation are also impacting the laurel forest.","This is a local species, restricted to (semi-) natural areas. Population declines have been estimated at 10%.",Decreasing,"The Canary Brimstone occurs in the Canary Islands at elevations between 1,000-1,500 m, sometimes up to 2,000 m. In winter it also occurs at lower elevations. This is a European endemic species.","All butterflies are collected to some extent, but only for the extremely rare species it can be a problem and the trade in Europe is generally at a low level compared to other continents. There is no specific trade information for this species.",Terrestrial,"This species occurs in a number of protected areas across its range. Since it has a restricted global range, its distribution and trend should be monitored closely, for example by a Butterfly Monitoring Scheme.",Palearctic,,false,false,Global & Europe
6977508,173232,Pararge xiphioides,Least Concern,,2010,2009-01-29 00:00:00 UTC,3.1,English,"This species is listed as Least Concern, since it has not been declining by more than 25% in the last ten years and its population size is probably larger than 10,000 adult individuals.","The Canary Speckled Wood is a typical woodland butterfly. It can be found throughout the year in laurel and chestnut forests. The caterpillars' foodplants are grasses that grow in woodland and damp grassland, such as false-bromes (<span style=""font-style: italic;"">Brachypodium</span> spp.), cock’s-foot (<span style=""font-style: italic;"">Dactylus </span>spp.), <span style=""font-style: italic;"">Luzula forsteri</span>, <span style=""font-style: italic;"">Oryzopsis miliacea</span>, <span style=""font-style: italic;"">Agrostis tenuous</span> and <span style=""font-style: italic;"">Carex divulsa</span>. Detailed habitat descriptions are not available.","Although this is a European endemic with a restricted range, this species is not believed to face major threats at the European level.","A local species, restricted to (semi-) natural areas on the Canary Islands.",Stable,"Restricted to the Canary Islands Tenerife, Gran Canaria, Gomera and La Palma. Its elevational range is 200-2,000 m. This is a European endemic species.","All butterflies are collected to some extent, but only for the extremely rare species it can be a problem and the trade in Europe is generally at a low level compared to other continents. There is no specific trade information for this species.",Terrestrial,"This species occurs in a number of protected areas across its range. No specific conservation actions are needed at a European level. But since it has a restricted global range, its distribution and trend should be monitored closely, for example by a Butterfly Monitoring Scheme. More research to distribution and ecology is needed.",Palearctic,,false,false,Global & Europe
6979253,173244,Euchloe grancanariensis,Least Concern,,2010,2009-01-29 00:00:00 UTC,3.1,English,"This species is listed as Least Concern, since it has not been declining by more than 25% in the last ten years and its population size is probably larger than 10,000 adult individuals.","This species occurs on dry open grassland with some bushes of <span style=""font-style: italic;"">Euphorbia </span>species. Detailed habitat descriptions are not available.","Although this is a European endemic with a restricted range, this species is not believed to face major threats at the European level.","A local species, restricted to (semi-) natural areas.",Stable,Restricted to the Canary Island of Gran Canaria. This is a European endemic species.,"All butterflies are collected to some extent, but only for the extremely rare species it can be a problem and the trade in Europe is generally at a low level compared to other continents. There is no specific trade information for this species.",Terrestrial,"More research on the ecological requirements is needed. As far as is known now, no specific conservation actions are needed at a European level, but since it has a restricted global range, its distribution and trend should be monitored closely, for example by a Butterfly Monitoring Scheme.",Palearctic,,false,false,Global & Europe
6979938,173249,Vanessa vulcania,Least Concern,,2010,2009-01-29 00:00:00 UTC,3.1,English,"This species is listed as Least Concern, since it has not been declining by more than 25% in the last ten years and its population size is probably larger than 10,000 adult individuals.","The Indian Red Admiral is a butterfly species typical of laurel forests, but it is also found in man-made types of habitat, such as gardens and parks. The female deposits the eggs singly on <span style=""font-style: italic;"">Urtica morifolia</span> and <span style=""font-style: italic;"">Parietaria </span>sp. Plants growing in shaded conditions are preferred to those growing in the sun. The caterpillars stays in a shelter made by a rolled-up leaf of its foodplant, where it also pupates. The Indian Red Admiral can be seen throughout the year because it has no diapause and produces many generations a year (Tolman and Lewington 2008). Habitats: agricultural land and artificial landscapes (50%), scrub and grassland (50%).","Although this is a European endemic with a restricted range, this species is not believed to face major threats at the European level.","A local species, restricted to Madeira and the Canary Islands.",Stable,This species is restricted to Madeira and the Canary Islands. This is a European endemic species.,"All butterflies are collected to some extent, but only for the extremely rare species it can be a problem and the trade in Europe is generally at a low level compared to other continents. There is no specific trade information for this species.",Terrestrial,"No specific conservation actions are needed at a European level. But since it has a restricted global range, its distribution and trend should be monitored closely, for example by Butterfly Monitoring Schemes.",Palearctic,,false,false,Global & Europe
6982416,173266,Euchloe hesperidum,Least Concern,,2010,2009-01-29 00:00:00 UTC,3.1,English,"This species is listed as Least Concern, since it has not been declining by more than 25% in the last ten years and its population size is probably larger than 10,000 adult individuals.","The Canary Green-striped White occurs in places that have been abandoned after cultivation. The larval foodplant, <span style=""font-style: italic;"">Sisymbrium erysomoides</span>, must be available in sufficient quantity. It has two generations a year (Tolman and Lewington 2008). Detailed habitat descriptions are not available.","Although this is a European endemic with a restricted range, this species is not believed to face major threats at the European level.","A local species, restricted to (semi-) natural areas.",Stable,Restricted to the Canary Island of Fuerteventura. This is a European endemic species.,"All butterflies are collected to some extent, but only for the extremely rare species it can be a problem and the trade in Europe is generally at a low level compared to other continents. There is no specific trade information for this species.",Terrestrial,"More research on the ecological requirements is needed. As far as is known now, no specific conservation actions are needed at a European level. But since it has a restricted global range, its distribution and trend should be monitored closely, for example by a Butterfly Monitoring Scheme.",Palearctic,,false,false,Global & Europe
6983330,173272,Thymelicus christi,Least Concern,,2010,2009-01-29 00:00:00 UTC,3.1,English,"This species is listed as Least Concern, since it has not been declining by more than 25% in the last ten years and its population size is probably larger than 10,000 adult individuals.","<span style=""font-style: italic;"">Thymelicus christi&#160; </span>has two or three generations per year. Detailed habitat descriptions are not available.","Although this is a European endemic with a restricted range, this species is not believed to face major threats at the European level.","A local species, restricted to (semi-) natural areas.",Stable,"This species is reported from all Canary Islands, except Lanzarote and Fuerteventura (Wiemers 1995). This is a European endemic species.","All butterflies are collected to some extent, but only for the extremely rare species it can be a problem and the trade in Europe is generally at a low level compared to other continents. There is no specific trade information for this species.",Terrestrial,"No specific conservation actions are needed at a European level, but since it has a restricted global range, its distribution and trend should be monitored closely, for example by a Butterfly Monitoring Scheme.",Palearctic,,false,false,Global & Europe
6985531,173286,Euchloe eversi,Least Concern,,2010,2009-01-29 00:00:00 UTC,3.1,English,"This species is listed as Least Concern, since it has not been declining by more than 25% in the last ten years and its population size is probably larger than 10,000 adult individuals.","<span style=""font-style: italic;""></span> The species occurs in the Canades des Teide at altitudes of 2,000 m and higher. The larval foodplant is <span style=""font-style: italic;"">Descurainia bourgeana</span>. Detailed habitat descriptions are not available.","Although a rare endemic, this species is not believed to face major threats.","A local species, restricted to (semi-) natural areas.",Unknown,"Restricted to the Canary Island of Tenerife. Its elevational range is above 2,000 m. This is a European endemic species.","All butterflies are collected to some extent, but only for the extremely rare species it can be a problem and the trade in Europe is generally at a low level compared to other continents. There is no specific trade information for this species.",Terrestrial,"More research on the ecological requirements is needed. As far as is known now, no specific conservation actions are needed at a European level. But since it has a restricted global range, its distribution and trend should be monitored closely, for example by a Butterfly Monitoring Scheme.",Palearctic,,false,false,Global & Europe
6987179,173299,Hipparchia bacchus,Vulnerable,D2,2010,2009-01-29 00:00:00 UTC,3.1,English,"This species only occurs in two locations, and the area of occupancy (AOO) is less than 20 km². It is furthermore threatened by agriculture. Therefore it is classified as Vulnerable.","This Grayling is confined to one of the Canary Islands, El Hierro, where it can be found on the very steep and grassy cliffs and the vineyards at the base of the cliffs. It has one generation a year (Tolman and Lewington 2008). Detailed habitat descriptions are not available.","This species is restricted to two locations on one island. It is threatened by the conversion of steep areas to vineyards and intensivation of vineyard management, including the use of insecticides.","This is a very local and rare European endemic, restricted to (semi-) natural areas on El Hierro, Canary Islands. It is not known how large the population is, but numbers might well be under 10,000 adults.",Stable,"Restricted to two locations on the Canary Island El Hierro, between 300-1,500 m elevation. This is a European endemic species.","All butterflies are collected to some extent, but only for the extremely rare species it can be a problem and the trade in Europe is generally at a low level compared to other continents. There is no specific trade information for this species.",Terrestrial,"As this species has a restricted global range and is very rare, its distribution and trend should be monitored closely, for example by a Butterfly Monitoring Scheme.",Palearctic,,false,false,Global & Europe
6987849,173304,Hipparchia tamadabae,Least Concern,,2010,2009-01-29 00:00:00 UTC,3.1,English,"Although this species occurs in a small extent of occurrence (EOO) and area of occupancy (AOO), it is not declining by more than 30% nor shows extreme fluctuations according to Russell <span style=""font-style: italic;"">et al</span>. (2007). Therefore it is listed as Least Concern.","This Grayling is confined to one of the Canary Islands, Gran Canaria. It can be found rocky gullies surrounded by pine forest. It has one generation a year (Tolman and Lewington 2008).   Detailed habitat descriptions are not available.","Although this is a European endemic with a restricted range, this species is not believed to face major threats at the European level.","A local species, restricted to (semi-) natural areas on Gran Canaria, Canary Islands.",Stable,"Restricted to the Canary Island Gran Canaria. Its elevational range is 400-2,000 m. This is a European endemic species.","All butterflies are collected to some extent, but only for the extremely rare species it can be a problem and the trade in Europe is generally at a low level compared to other continents. There is no specific trade information for this species.",Terrestrial,"No specific conservation actions are needed at a European level. But since it has a restricted global range, its distribution and trend should be monitored closely, for example by a Butterfly Monitoring Scheme.",Palearctic,,false,false,Global & Europe
6988254,173308,Hipparchia wyssii,Least Concern,,2010,2009-01-29 00:00:00 UTC,3.1,English,"Although this species occurs in a small extent of occurrence (EOO) and area of occupancy (AOO), it is not declining by more than 30% nor shows extreme fluctuations according to Russell <span style=""font-style: italic;"">et al</span>. (2007). Therefore it is listed as Least Concern.",The Canary Grayling is a widespread but local species in the central mountains of Tenerife. It occurs on sparsely vegetatied rocky gullies in pine forests. The species has one generation a year (Tolman and Lewington 2008). Detailed habitat descriptions are not available.,"Although this is a European endemic with a restricted range, this species is not believed to face major threats at the European level.","A local species, restricted to (semi-) natural areas on Tenerife, Canary Islands.",Stable,"Only present on Tenerife, Canary Islands. Its elevational range is 1,400-2,000 m. This is a European endemic species.","All butterflies are collected to some extent, but only for the extremely rare species it can be a problem and the trade in Europe is generally at a low level compared to other continents. There is no specific trade information for this species.",Terrestrial,"No specific conservation actions are needed at a European level. But since it has a restricted global range, its distribution and trend should be monitored closely, for example by a Butterfly Monitoring Scheme.",Palearctic,,false,false,Global & Europe
7177911,176028,Habenaria tridactylites,Least Concern,,2011,2011-06-23 00:00:00 UTC,3.1,English,"<span style=""font-style: italic;"">Habenaria tridactylites</span> is endemic to the Canary Islands and is found on La Gomera, La Palma, El Hierro, Tenerife and Gran Canaria. It is locally abundant throughout the majority of its distribution and  is suspected to be the most common orchid on the Canary Islands. The number of individuals declined in the past as its habitat, Laurisilva forest, disappeared. However, it is now included in several protected areas and not included in the national catalogue of threatened species or in the national red list. Therefore, this orchid is assessed as Least Concern.","This orchid occurs on moist crags within Laurisilva forests and also within scrublands in less humid environments. It has also become adapted to areas under human influence, such as edges of mountain roads. It flowers from November to April and remains underground during the summer (Grupo Orquideófilo Canarias 2002).","There is no information on direct threats to this species but its habitat, Laurisilva forests, has declined in the past (Grupo Orquideófilo Canarias 2002).",It is locally abundant throughout the majority of its distribution and is suspected to be the most common orchid on the Canary Islands. The total number of individuals has generally decreased due to the reduction of its habitat (Laurisilva forests) (Grupo Orquideófilo Canarias 2002). The current population trend is unknown.,Unknown,"This orchid is endemic to the Canary Islands (Spain) and is found on La Gomera, La Palma, El Hierro, Tenerife and Gran Canaria (The Board of Trustees of the Royal Botanic Gardens, Kew 2010). A further subpopulation was found in Lanzarote in 1983 which was formed by only  six individuals. Its current presence in this island is uncertain. This plant is found between 400 and 1,000 m asl (Grupo Orquideófilo Canarias 2002).",There is no information on the use of this species.,Terrestrial,"All orchids are included under Annex B of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES).<br/><br/>It occurs in several protected areas such as Paisaje Protegido de Pino Santo, Paisaje Protegido de Las Cumbres, Reserva Natural Integral de Barranco Oscuro and Reserva Natural Especial de Azuaje (Gran Canaria), Paisaje Protegido de Orone (La Gomera), Reserva Natural Integral de Tibataje (El Hierro) and Paisaje Protegido Costa Acentejo (Tenerife).<br/><br/>It was identified as a Near Threatened species by TPU-Consejo de Europa in 1983 and included in the ""Orden de 20 de febrero de 1991, de la Consejería de Política Territorial, sobre protección de especies de la flora vascular silvestre de la Comunidad Autónoma de Canarias"". However, it is not included in the catalogue of protected species of the Canary Islands of 2010 and neither in the former catalogue of threatened species.",Palearctic,,false,false,Global & Europe
7183405,176043,Himantoglossum metlesicsianum,Endangered,"B1ab(iii,v)+2ab(iii,v)",2011,2011-03-30 00:00:00 UTC,3.1,English,"<em>Himantoglossum metlesicsianum</em> is endemic to Tenerife where it is rare and found in only three locations. <span class=""species"">The extent of occurrence is 291 km² and the area of occupancy is 13 km².<span class=""species""><span class=""species""> The trend of the population is decreasing due to infrastructure expansion, agriculture, and collection of this orchid. <span class=""species"">Therefore, <em>Himantoglossum metlesicsianum</em><span class=""species""> is assessed as Endangered. </span></span>","<p><em>Himantoglossum </em><em>metlesicsianum</em> is typically found in open garrigue, old terraces, woodland edges and open woodland often with pine. It<em><em> </em></em>prefers slightly acidic lava rubble substrates and grows in full sun to mid-shade. Flowering time is from December to February <span class=""species"">(<span class=""species""><span class=""species""><span class=""species"">Mesa Coello<span class=""species""><span class=""species""><span class=""species""> <em>et al.</em> 2004, Campo <em>et al.</em> 1996, Delforge 1995).</span></span></span></p>","<p><em>Himantoglossum metlesicsianum</em> is<span class=""species""> threatened by the expansion of infrastructure by opening new roads and paths, ploughing, tourism and mostly the collection of this rare plant <span class=""species"">(<span class=""species""><span class=""species""><span class=""species"">Mesa Coello<span class=""species""><span class=""species""><span class=""species""><span class=""species""><span class=""species""> <em>et al.</em> 2004, Campo <em>et al.</em> 1996, Delforge 1995).</span></span></span></span></span></p>","<p><em>Himantoglossum metlesicsianum</em> is very rare and is only known from three subpopulations. One subpopulations has more than 1,000 individuals, whereas the second hosts over 300 and the third one counts only 12 individuals. The<span class=""species""> population has a decreasing trend (<span class=""species""><span class=""species""><span class=""species"">Mesa Coello<span class=""species""><span class=""species""><span class=""species""> <em>et al.</em> 2004, Campo <em>et al.</em> 1996, Delforge 1995).</span></span></span></p>",Decreasing,"<p>This species is endemic to Tenerife, Canary  Islands, Spain, where it can be found from 800 to 1,300 m altitude<span class=""species"">. The extent of occurrence is 291 km² and the area of occupancy is 13 km². <span class=""species"">(Mesa Coello <em>et al.</em> 2004, Campo <em>et al.</em> 1996, Delforge 1995)</span></p>  <p></p>  <p></p>",<p>The species could be collected for its ornamental value.<br/></p>,Terrestrial,"All orchids are included under Annex B of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES). This species is also listed under Appendix I of the Convention on the Conservation of European Wildlife and Natural Habitats (Bern Convention).<a name=""OLE_LINK8""><em> Himantoglossum metlesicsianum </em>is listed as Endangered B2ab(iii,v) </a><a name=""OLE_LINK8"">in Spain </a><a name=""OLE_LINK8""> <span class=""species"">(<span class=""species""><span class=""species""><span class=""species"">Mesa Coello<span class=""species""><span class=""species""><span class=""species""> <em>et al.</em> 2004, Moreno 2008).&#160;</span></span></span></a>  <p>The following actions are recommended to protect <em>Himantoglossum metlesicsianum</em>; </p>  <ul><li>Protection of the habitat.</li><li>Fencing the vulnerable sites to protect the species.</li><li>Sympathetic management of isolated populations.</li><li>Raise public awareness.</li><li>Protection of the living individuals of the species through legislation that bans the species from being picked or dug up.</li><li><span style=""font-style: italic;"">Ex situ</span> conservation: Artificial propagation, re-introduction, seed collections.</li><li>Monitoring and surveillance of the existing populations and sites.</li><li>Estimate the population size and study their dynamics.<br/></li></ul><span class=""species"">(<span class=""species""><span class=""species""><span class=""species"">Mesa Coello<span class=""species""><span class=""species""><span class=""species""> <em>et al.</em> 2004, Campo <em>et al.</em> 1996, Delforge 1995)</span></span></span>",Palearctic,,false,false,Global & Europe
